# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_favela
# Exported by: professor moretzsohn
setting:	replacespawns 1
weapon_ttt_smokegrenade	-2110.928223 1159.183105 -53.688164	7.940 -95.594 -95.493
weapon_ttt_smokegrenade	-2137.987549 1175.507446 -51.001778	20.032 -94.935 -93.551
weapon_ttt_smokegrenade	-2151.309570 1217.312134 -48.429321	2.967 -136.437 -94.333
weapon_ttt_smokegrenade	-2115.418701 1161.706055 -53.120388	-46.056 -65.331 -91.326
weapon_ttt_smokegrenade	-2123.850342 1171.251343 -52.272625	15.185 -120.897 -95.585
weapon_ttt_smokegrenade	-2148.765137 1185.035278 -49.764507	20.386 -107.951 -95.156
weapon_ttt_smokegrenade	-2157.288330 1219.275513 -47.965321	56.854 50.935 49.522
weapon_ttt_smokegrenade	-2171.520264 1245.181885 -45.958794	6.327 -120.286 -94.865
weapon_ttt_smokegrenade	-2195.257080 1279.208984 -42.923222	24.949 75.496 94.864
weapon_ttt_smokegrenade	-2183.560059 1312.266479 -42.562096	24.850 68.590 94.715
weapon_ttt_smokegrenade	-2160.700195 1325.917114 -43.772099	20.131 -112.829 -94.177
weapon_ttt_smokegrenade	-2124.970459 1349.736694 -44.686226	2.614 -106.018 -94.068
weapon_ttt_smokegrenade	-2094.288574 1361.140747 -45.354221	23.539 73.780 95.240
weapon_ttt_smokegrenade	-2048.333496 1361.551758 -47.111553	26.307 38.403 95.409
weapon_ttt_smokegrenade	-2029.854248 1339.420898 -49.397076	23.023 38.986 94.871
weapon_ttt_smokegrenade	-2000.072021 1351.130005 -50.339977	10.341 39.529 68.071
weapon_ttt_smokegrenade	-1979.612915 1372.158325 -49.080914	22.411 36.428 95.051
weapon_ttt_smokegrenade	-1954.006226 1366.470215 -49.821369	21.710 36.402 95.224
weapon_ttt_smokegrenade	-1925.084473 1346.907593 -52.867241	-66.905 -130.609 -108.218
weapon_ttt_smokegrenade	-1917.516602 1314.671997 -56.848248	26.501 14.589 95.727
weapon_ttt_smokegrenade	-1907.993652 1284.044434 -59.497803	20.060 49.092 94.285
weapon_ttt_smokegrenade	-1919.461182 1258.614380 -61.489796	20.168 -138.134 -95.146
weapon_ttt_smokegrenade	-1924.043701 1224.191284 -63.904869	24.056 -87.763 -92.720
weapon_ttt_smokegrenade	-1925.681152 1185.734741 -66.294815	-28.912 72.500 94.652
weapon_ttt_smokegrenade	-1953.818115 1163.265869 -65.649170	22.824 52.879 97.302
weapon_ttt_smokegrenade	-1945.404907 1157.464478 -66.794106	-64.437 -102.277 -105.918
weapon_ttt_smokegrenade	-1927.777100 1171.628540 -67.063553	-49.549 71.159 99.746
weapon_ttt_smokegrenade	-1911.940918 1195.536865 -67.326332	27.172 -85.060 -95.454
weapon_ttt_smokegrenade	-1919.381714 1234.690063 -62.966644	23.393 27.303 95.124
weapon_ttt_smokegrenade	-1919.672241 1277.176636 -60.078236	21.151 -136.875 -94.985
weapon_ttt_smokegrenade	-1921.102905 1308.671631 -56.966694	-49.070 27.031 97.025
weapon_ttt_smokegrenade	-1931.206421 1339.545044 -52.398998	79.688 129.070 -174.801
weapon_ttt_smokegrenade	-1951.937622 1372.100464 -49.743961	-45.060 -127.419 -91.697
weapon_ttt_smokegrenade	-1994.838135 1374.213745 -49.118149	-46.353 -138.560 -92.682
weapon_ttt_smokegrenade	-2022.076660 1370.797974 -47.737331	25.991 39.920 95.777
weapon_ttt_smokegrenade	-2062.026123 1357.720215 -46.788548	-69.410 -134.396 -101.203
weapon_ttt_smokegrenade	-2108.822510 1339.364380 -45.678471	-29.379 101.228 90.039
weapon_ttt_smokegrenade	-2148.308105 1327.242798 -44.096195	30.928 86.454 84.386
weapon_ttt_smokegrenade	-2184.849365 1315.680298 -42.655602	-28.354 -56.826 -91.746
weapon_ttt_smokegrenade	-2192.761963 1265.913452 -43.419647	24.931 76.513 95.631
weapon_ttt_smokegrenade	-2182.413574 1232.339966 -45.637329	20.176 -105.075 -95.194
weapon_ttt_smokegrenade	-1063.409546 -1785.615967 1.498110	17.955 55.972 -89.050
weapon_ttt_smokegrenade	-1008.770447 -1979.175537 256.188934	-1.326 -1.461 -0.953
weapon_ttt_smokegrenade	10.584764 930.276550 -892.893494	85.923 -155.628 -155.677
weapon_ttt_smokegrenade	590.954163 -250.185608 -813.509521	17.407 37.507 -88.974
ttt_random_weapon	750.935242 -615.955261 -566.785217	1.709 4.925 -92.978
ttt_random_weapon	743.896179 -594.442322 -566.373169	-1.895 -7.740 84.493
ttt_random_weapon	743.393860 -546.112610 -566.796753	1.183 4.482 -93.456
ttt_random_weapon	-843.666321 -2265.030273 257.156158	2.354 6.217 -91.547
ttt_random_weapon	-909.365723 -2264.220459 257.230560	1.530 4.981 -93.387
ttt_random_weapon	-984.379883 -2262.754883 257.238922	1.435 4.965 -93.604
ttt_random_weapon	-807.454773 -1891.794312 257.224731	1.596 4.987 -93.236
ttt_random_weapon	-805.350342 -1946.777588 257.218811	1.663 4.987 -93.083
ttt_random_weapon	-803.520447 -1994.737183 257.231079	1.524 4.980 -93.401
ttt_random_weapon	-919.822693 -1582.156982 257.218353	1.668 4.987 -93.071
ttt_random_weapon	-190.915329 -2184.904053 17.204140	2.535 3.246 -91.371
ttt_random_weapon	-266.590790 -2190.476563 17.331301	2.398 3.539 -91.336
ttt_random_weapon	-262.408234 -2130.865967 17.667645	2.564 4.850 -92.675
ttt_random_weapon	-204.112534 -2106.752930 17.109627	1.974 3.936 -93.732
ttt_random_weapon	-197.793350 -2141.732178 17.432098	2.846 3.071 -92.775
ttt_random_weapon	-314.359528 -2068.447021 17.519600	2.305 2.928 -93.150
ttt_random_weapon	-366.970886 -2041.623901 17.913239	2.452 4.965 -93.426
ttt_random_weapon	-298.821960 -1993.987549 17.677589	0.562 3.623 -91.325
ttt_random_weapon	-275.018860 -1956.908691 18.538099	1.846 2.453 -94.219
ttt_random_weapon	-225.696701 -1967.739380 17.784393	2.176 4.171 -91.872
ttt_random_weapon	-219.485779 -2009.374878 17.636700	0.697 4.678 -95.025
ttt_random_weapon	-187.761230 -2049.083496 17.423500	2.161 4.239 -92.398
ttt_random_weapon	893.580627 -552.010742 -728.765869	1.490 4.752 -93.480
ttt_random_weapon	890.649902 -576.822388 -728.793335	1.800 4.775 -92.769
ttt_random_weapon	895.887024 -598.227661 -728.798645	1.860 4.779 -92.631
ttt_random_weapon	690.758606 -723.998291 -766.804443	1.925 4.924 -92.483
ttt_random_weapon	691.559387 -691.264648 -766.781921	1.671 4.924 -93.065
ttt_random_weapon	692.593140 -649.275085 -766.775085	1.594 4.919 -93.241
ttt_random_weapon	693.627502 -607.285889 -766.768799	1.523 4.914 -93.404
ttt_random_weapon	694.369324 -577.299927 -766.782837	1.681 4.924 -93.041
ttt_random_weapon	895.584595 -424.306030 -792.807190	1.956 4.786 -92.413
ttt_random_weapon	956.783447 -422.789856 -792.786499	1.722 4.770 -92.947
ttt_random_weapon	1012.577393 -421.675049 -792.812378	2.015 4.791 -92.276
ttt_random_weapon	1072.857788 -420.454285 -792.774536	1.588 4.760 -93.255
ttt_random_weapon	1129.672729 -419.016144 -792.795959	1.829 4.777 -92.702
ttt_random_weapon	665.438782 -133.180984 -813.789734	1.759 4.707 -92.863
ttt_random_weapon	667.204407 -114.384552 -813.815613	2.051 5.379 -92.194
ttt_random_weapon	465.323883 632.074951 -957.793945	1.807 4.712 -92.754
ttt_random_weapon	97.695038 927.429504 -894.793762	1.805 4.928 -92.759
ttt_random_weapon	-1480.047363 1709.462036 6.190616	1.266 3.289 -94.163
ttt_random_weapon	-1478.488403 1694.516113 6.200161	1.331 4.833 -94.242
ttt_random_weapon	-1347.619995 1671.255493 6.198958	1.298 4.401 -93.904
ttt_random_weapon	-1347.087769 1691.547119 6.061021	2.451 3.253 -91.900
ttt_random_weapon	-1466.722900 1458.290649 38.163708	1.011 4.393 -94.985
ttt_random_weapon	-1413.055176 1261.959351 57.223827	1.606 4.920 -93.213
ttt_random_weapon	-1356.751343 1262.506226 57.193134	1.952 4.926 -92.420
ttt_random_weapon	-1299.159180 1261.760010 57.200867	1.865 4.929 -92.619
ttt_random_weapon	-1291.425171 1236.222046 57.238270	1.443 4.905 -93.587
ttt_random_weapon	-1351.875366 1234.992432 57.219868	1.651 4.923 -93.110
ttt_random_weapon	-1402.144409 1232.405762 57.213207	1.726 4.926 -92.938
ttt_random_weapon	-1392.786499 1054.926147 34.749966	-2.263 -8.635 85.333
ttt_random_weapon	-1472.591919 1046.817749 34.223072	2.177 5.135 -91.926
ttt_random_weapon	-1494.099609 1054.260620 34.300301	1.341 8.254 -93.841
ttt_random_weapon	-1497.692383 1051.255127 73.130379	1.540 4.210 -92.358
ttt_random_weapon	-1471.202637 1050.356934 74.474915	3.216 -4.967 86.884
ttt_random_weapon	-1466.394653 1056.034180 98.124001	2.156 4.818 -91.974
ttt_random_weapon	-1491.274902 1047.044189 98.200211	1.341 3.972 -93.841
ttt_random_weapon	-1417.497314 1053.396240 98.161346	1.269 5.779 -93.826
ttt_random_weapon	-1399.288086 1046.729004 98.173790	1.299 5.859 -93.834
ttt_random_weapon	-1419.597290 1049.851807 73.081551	1.268 12.480 -93.833
ttt_random_weapon	-1400.645752 1045.602417 73.571991	-2.336 -0.256 85.331
ttt_random_weapon	-1473.137451 1049.692383 12.593493	1.341 4.724 -93.841
ttt_random_weapon	-1492.266846 1055.824219 13.614207	-0.611 -4.015 -109.786
ttt_random_weapon	-1423.753540 1054.668457 12.477390	2.106 2.597 -91.907
ttt_random_weapon	-1404.583496 1047.071289 12.560168	1.327 4.248 -93.644
ttt_random_weapon	-1420.437256 1039.962891 34.293468	1.367 5.972 -93.840
ttt_random_weapon	-1595.770020 529.990234 -126.778885	1.637 4.922 -93.143
ttt_random_weapon	-1707.706543 533.347351 -126.787865	1.738 4.926 -92.910
ttt_random_weapon	-2276.211426 620.674500 -126.802849	1.907 4.928 -92.523
ttt_random_weapon	-2286.125977 -232.831070 -126.784744	1.703 4.926 -92.991
ttt_random_weapon	-2267.423584 -379.081329 -126.785751	1.715 4.926 -92.965
ttt_random_weapon	-2270.204590 -342.963348 -126.792496	1.791 4.928 -92.791
ttt_random_weapon	-2027.075195 -918.390015 -137.957825	4.822 7.340 -95.184
ttt_random_weapon	-1943.091553 -1009.955322 -103.674461	9.232 7.136 97.731
ttt_random_weapon	-1903.484009 -1286.558594 -30.785749	1.715 4.926 -92.965
ttt_random_weapon	-1059.582031 -1668.752686 1.201579	1.857 4.928 -92.638
ttt_random_weapon	-1059.471924 -1739.184814 1.226911	1.571 4.917 -93.293
ttt_random_weapon	-1367.936035 -1254.010376 -131.893723	-0.193 4.784 -89.086
ttt_random_weapon	2265.676514 1318.945557 -1214.769653	1.532 4.913 -93.383
ttt_random_weapon	2265.679932 1368.987671 -1214.765625	1.487 4.909 -93.487
ttt_random_weapon	2265.660645 1410.991211 -1214.771851	1.558 4.915 -93.324
ttt_random_weapon	2265.460693 1458.980225 -1214.797729	1.850 4.927 -92.655
ttt_random_weapon	2265.206299 1506.978149 -1214.800659	1.882 4.925 -92.581
ttt_random_weapon	2264.976074 1548.982056 -1214.794434	1.812 4.927 -92.741
ttt_random_weapon	2264.712158 1596.988770 -1214.778931	1.637 4.921 -93.142
ttt_random_weapon	2264.478760 1639.020874 -1214.810059	1.868 4.448 -92.476
ttt_random_weapon	2264.273193 1677.981201 -1214.796387	1.834 4.929 -92.690
ttt_random_weapon	1240.401367 2022.691895 -1099.630615	1.882 4.925 -92.581
ttt_random_weapon	1241.013550 1985.966064 -1099.601807	1.558 4.915 -93.324
ttt_random_weapon	872.506592 2077.929443 -922.614868	1.873 4.930 -92.601
ttt_random_weapon	871.596680 2135.253906 -922.622681	1.962 4.928 -92.398
ttt_random_weapon	305.225769 2209.659424 -734.783752	1.692 4.924 -93.016
ttt_random_weapon	306.251190 2242.703125 -734.789490	1.757 4.927 -92.867
ttt_random_weapon	307.706451 2276.470703 -734.780945	1.661 4.923 -93.088
ttt_random_weapon	-231.429428 2097.476563 -590.802856	1.907 4.928 -92.523
ttt_random_weapon	-44.580307 1625.374512 -758.804382	1.925 4.924 -92.483
ttt_random_weapon	-101.766144 1625.760010 -758.793701	1.805 4.927 -92.758
ttt_random_weapon	-168.095856 1626.209106 -758.770386	1.541 4.915 -93.362
ttt_random_weapon	571.658508 173.643982 -1054.792480	1.791 4.928 -92.791
ttt_random_weapon	655.087158 173.472122 -1054.777222	1.619 4.920 -93.183
ttt_random_weapon	736.804138 173.300781 -1054.782837	1.681 4.924 -93.041
ttt_random_weapon	970.638000 -1875.388672 137.221741	1.630 4.989 -93.159
ttt_random_weapon	913.750854 -1878.950562 137.217911	1.673 4.988 -93.059
ttt_random_weapon	844.861938 -1883.173706 137.236603	1.462 4.970 -93.544
ttt_random_weapon	-1460.332397 -2529.178467 101.038963	26.190 0.445 -99.009
ttt_random_weapon	-1488.742554 -2362.253418 102.565308	0.107 6.046 -96.959
ttt_random_weapon	-1405.091919 -2336.574463 88.063774	13.345 11.579 80.294
ttt_random_weapon	-1054.474854 -2346.680176 105.214752	1.709 4.925 -92.978
ttt_random_weapon	-704.271179 -1659.307739 -204.325455	4.940 6.801 63.451
ttt_random_weapon	-343.338409 -1575.674805 -229.603897	11.205 2.857 -89.158
ttt_random_weapon	-274.846039 -1587.753906 -244.875519	16.835 -17.442 87.543
ttt_random_weapon	489.680847 -1632.255981 -254.788971	1.751 4.927 -92.882
ttt_random_weapon	322.694000 -2430.714111 12.029813	-3.924 6.379 -95.058
ttt_random_weapon	314.920044 -2494.046875 9.950563	-0.662 -15.635 -92.247
ttt_random_weapon	309.696594 -2552.323242 5.357092	-4.106 -3.844 91.523
ttt_random_weapon	598.183655 -1222.801025 -448.804413	1.925 4.924 -92.483
ttt_random_weapon	712.722168 -1221.117188 -448.763519	1.463 4.908 -93.541
ttt_random_weapon	1853.363525 465.560730 -1289.116333	9.330 -10.284 87.558
ttt_random_weapon	1844.124634 409.140442 -1288.856079	10.935 -0.986 -95.527
ttt_random_weapon	1847.353760 374.733368 -1286.594727	9.862 4.724 -92.806
ttt_random_weapon	1838.535034 436.448944 -1288.534058	12.292 3.863 -93.407
ttt_random_weapon	1528.427734 1291.583008 -1165.766113	1.766 4.708 -92.847
ttt_random_weapon	1390.674927 819.435303 -1198.776733	1.613 4.987 -93.198
ttt_random_weapon	1332.128418 815.087524 -1198.773560	1.577 4.985 -93.280
ttt_random_weapon	1275.084229 812.281433 -1198.773560	1.577 4.985 -93.280
ttt_random_weapon	1213.270386 814.273926 -1198.774536	1.588 4.986 -93.254
ttt_random_weapon	1175.826782 1269.581299 -1198.776367	1.608 4.987 -93.208
ttt_random_weapon	1235.552490 1268.850586 -1198.767944	1.513 4.978 -93.426
ttt_random_weapon	313.246094 1875.545776 -894.805237	1.934 4.925 -92.462
ttt_random_weapon	393.440857 1878.796631 -894.791260	1.777 4.928 -92.822
ttt_random_weapon	455.158508 1879.015137 -894.780151	1.651 4.923 -93.110
ttt_random_weapon	442.697052 1843.914185 -894.784729	1.703 4.926 -92.991
ttt_random_weapon	382.308502 1841.303711 -894.782349	1.676 4.924 -93.053
ttt_random_weapon	323.887878 1839.820679 -894.797729	1.849 4.928 -92.656
ttt_random_weapon	305.400482 1785.308228 -894.773438	1.575 4.918 -93.284
ttt_random_weapon	361.603607 1785.284668 -894.768555	1.520 4.913 -93.410
ttt_random_weapon	403.594147 1786.389282 -894.800598	1.882 4.926 -92.582
ttt_random_weapon	460.611908 1788.141968 -894.793091	1.798 4.929 -92.775
ttt_random_weapon	-1660.958740 27.546408 1.197148	1.907 4.928 -92.523
ttt_random_weapon	-1720.388306 27.666092 1.194777	1.934 4.924 -92.462
